Number,Title,GivenName,MiddleInitial,Surname,MothersMaiden,Birthday,Gender,Age,BloodType,Kilograms,FeetInches
112,Mr.,Carl,J,Freese,Figueroa,4/25/2011,male,5,O+,24.8,"3' 4"""
113,Dr.,Carlos,C,Taylor,Tate,8/16/2010,male,6,O+,19.0,"3' 10"""
114,Mr.,Robert,L,Jones,Laird,10/4/2010,male,6,A+,25.5,"3' 6"""
115,Mr.,George,E,Alvarez,Meyers,11/24/2006,male,9,B+,43.5,"4' 0"""
116,Mr.,Patrick,A,Oliver,Keyes,8/21/2002,male,14,O+,49.5,"4' 11"""
117,Mr.,Rudolf,L,Robinson,Alvarez,2/25/1995,male,21,A+,106.4,"5' 7"""
118,Mr.,Kenneth,G,Garcia,Townsend,6/1/1998,male,18,O+,81.9,"5' 11"""
119,Mr.,Keith,P,Sirianni,Mills,1/11/2006,male,10,A+,32.5,"4' 11"""
120,Mr.,Donald,C,Hockett,Gessner,2/17/1999,male,17,O+,91.8,"5' 5"""
121,Mr.,Sean,G,Reyes,Boone,7/25/1994,male,22,O+,82.5,"6' 1"""
122,Mr.,Gerald,M,Randle,Phillips,2/23/2009,male,7,A+,26.9,"3' 11"""
123,Mr.,Arthur,S,Henry,King,4/10/1997,male,19,A-,96.4,"5' 9"""
124,Mr.,Victor,S,Standley,Smith,11/11/2009,male,7,A+,25.5,"4' 2"""
125,Mr.,Harold,S,Brown,Greene,10/5/2008,male,8,O+,34.4,"4' 1"""
126,Mr.,Ryan,S,Wallace,Brice,12/7/2004,male,11,B+,50.7,"5' 2"""
127,Mr.,Glenn,A,Martinek,Wardlaw,11/12/2012,male,4,O+,17.9,"3' 4"""
128,Mr.,Greg,K,Wright,Obrien,8/10/1996,male,20,O+,99.5,"5' 9"""
129,Mr.,Andrew,C,Tyner,Furman,10/21/2004,male,12,O+,41.7,"5' 2"""
130,Mr.,Chad,V,McDaniel,Young,12/29/2000,male,15,B-,43.6,"5' 2"""
131,Mr.,Michael,C,Venegas,Ward,10/15/1994,male,22,A+,106.7,"6' 2"""
132,Mr.,Joseph,T,Brown,Strong,9/8/2002,male,14,O-,43.2,"5' 8"""
133,Mr.,Frederick,B,Seeley,Bennett,7/17/2008,male,8,A+,21.4,"4' 0"""
134,Mr.,Steven,B,Lagunas,Collins,4/19/1997,male,19,B+,99.4,"5' 10"""
135,Mr.,John,A,Byrnes,Herrmann,9/29/2010,male,6,O+,19.6,"3' 9"""
136,Mr.,Derek,D,Willis,Sessoms,10/31/1996,male,20,O+,70.2,"5' 10"""
137,Mr.,Jeffrey,K,Turner,Scott,9/8/2010,male,6,O+,22.0,"3' 8"""
138,Mr.,Ricardo,J,Ortiz,Donaldson,3/12/1998,male,18,O+,65.9,"6' 0"""
139,Mr.,Mark,C,Robertson,Fink,10/27/2010,male,6,AB+,27.1,"3' 6"""
140,Mr.,Robert,S,Kelley,Cutts,4/6/1996,male,20,O+,84.9,"5' 10"""
141,Mr.,Bob,A,Oyama,Aikens,7/24/1994,male,22,B+,103.9,"6' 0"""
142,Mr.,Joel,B,Kaster,Robert,11/21/2002,male,13,A+,35.5,"5' 4"""
143,Mr.,Chad,L,Briggs,Wright,4/13/1998,male,18,B+,85.6,"6' 0"""
144,Mr.,Robert,C,Zuniga,Bernier,2/12/1998,male,18,O+,92.3,"5' 4"""
145,Mr.,Scott,M,Griffin,Taylor,1/27/2008,male,8,B+,22.5,"4' 1"""
146,Mr.,Mark,M,McDermott,Scott,8/15/2009,male,7,A+,29.6,"4' 2"""
147,Mr.,Rodney,R,Gies,Nelson,7/25/2002,male,14,O+,65.4,"5' 3"""
148,Mr.,Jefferson,J,Daluz,Roberts,1/27/2000,male,16,B+,45.6,"6' 0"""
149,Mr.,Franklin,S,Santana,Vera,12/31/2013,male,2,O+,10.0,"2' 9"""
150,Mr.,Gerald,T,Few,Dean,3/8/2002,male,14,A+,38.0,"5' 0"""
151,Mr.,James,E,Rosado,Roth,3/12/2003,male,13,A+,66.5,"5' 2"""
152,Mr.,James,S,Johnson,Fisher,5/28/2006,male,10,O+,28.9,"4' 6"""
153,Mr.,Melvin,H,Artz,Hively,4/20/2012,male,4,O+,16.3,"3' 2"""
154,Mr.,Archie,E,Alvarado,Forsythe,10/27/2014,male,2,B+,14.8,"2' 11"""
155,Mr.,Arthur,M,Pascoe,Morgan,5/22/2003,male,13,A+,41.1,"5' 6"""
156,Mr.,Roy,T,Gonzales,Sharp,6/9/1997,male,19,A+,66.6,"6' 3"""
157,Mr.,William,A,Warren,Hammond,7/16/2000,male,16,B+,79.1,"6' 1"""
158,Mr.,Timothy,H,Fuentes,Vickers,4/24/2010,male,6,A+,28.6,"3' 8"""
159,Mr.,William,J,Morningstar,Phillips,5/21/2014,male,2,A+,11.5,"2' 11"""
160,Mr.,Mark,N,Lewis,Starr,4/19/2013,male,3,A+,18.8,"3' 2"""
161,Mr.,James,M,Decamp,Lamm,2/27/2007,male,9,A+,32.1,"4' 6"""
162,Mr.,Andrew,A,Hamrick,Pak,5/1/2010,male,6,A+,22.1,"3' 8"""
163,Mr.,Delbert,C,Peterson,Anthony,7/20/1998,male,18,O+,74.6,"5' 9"""
164,Mr.,Allen,A,Patton,Gonzalez,5/5/1995,male,21,A-,62.4,"6' 1"""
165,Mr.,Mohamed,D,Ball,Turner,1/23/2008,male,8,A+,34.8,"3' 10"""
166,Mr.,Jesse,L,Hill,Little,12/4/2002,male,13,A+,32.6,"5' 0"""
167,Mr.,Clarence,E,Holmes,Hans,4/2/2010,male,6,O+,22.3,"3' 9"""
168,Mr.,Anthony,D,Rodriquez,Kinne,8/26/2005,male,11,A+,54.7,"4' 11"""
169,Mr.,Steven,T,Rose,Remley,4/7/1995,male,21,O+,57.3,"6' 2"""
170,Mr.,Robert,W,Capozzi,Olson,6/18/2002,male,14,B+,72.7,"5' 4"""
171,Mr.,Todd,F,Hill,Rock,11/7/2008,male,8,O+,21.2,"4' 4"""
172,Mr.,Robert,A,Thomas,Martinez,1/30/1999,male,17,A+,70.9,"5' 9"""
173,Mr.,Joseph,K,Whaley,Roa,8/7/2005,male,11,O+,54.7,"4' 6"""
174,Mr.,Douglas,S,Peoples,Wade,11/10/2008,male,8,O+,21.0,"4' 6"""
175,Mr.,Adam,C,Blue,Roland,9/28/1994,male,22,O+,65.5,"6' 2"""
176,Mr.,Matthew,K,Sage,Medina,3/26/2013,male,3,O-,12.4,"3' 1"""
177,Mr.,Gregory,E,Neff,Groves,5/16/2014,male,2,B+,11.1,"2' 11"""
178,Mr.,David,K,McCullough,Wagner,6/29/1997,male,19,O+,60.6,"6' 3"""
179,Mr.,James,K,Clemmons,Byers,3/13/2006,male,10,A+,35.1,"4' 6"""
180,Mr.,Stephen,V,Cale,Tabarez,8/10/2014,male,2,B+,14.3,"2' 9"""
181,Mr.,Kurt,L,Moore,Ulloa,2/28/1999,male,17,O+,54.3,"5' 8"""
182,Mr.,John,N,Matthew,Stewart,8/8/1999,male,17,O+,92.9,"6' 0"""
183,Mr.,Melvin,M,Brehm,Brewer,1/22/1997,male,19,A+,65.3,"5' 10"""
184,Mr.,Jarrod,V,Kaplan,Evangelista,9/9/2005,male,11,B+,49.0,"5' 0"""
185,Mr.,Ronald,H,Torres,Rock,4/15/2006,male,10,B+,35.7,"4' 10"""
186,Mr.,Thomas,M,Sonnier,Rambert,2/26/2003,male,13,A+,54.2,"4' 10"""
187,Mr.,Benjamin,D,Espiritu,Corlett,12/29/2004,male,11,O+,30.8,"4' 6"""
188,Mr.,Dennis,H,Paden,Smith,7/4/2013,male,3,O+,18.9,"3' 2"""
189,Mr.,David,S,Bedoya,Freeman,6/6/2004,male,12,A+,53.1,"4' 9"""
190,Mr.,Anthony,A,Bussell,Stafford,4/7/2003,male,13,A+,41.7,"5' 7"""
191,Mr.,Carrol,L,Coffey,Haddox,9/26/2012,male,4,O+,19.2,"3' 3"""
192,Mr.,Roderick,L,Widmer,Green,5/7/2012,male,4,B+,16.2,"3' 1"""
193,Mr.,Samuel,V,Stringer,Collin,8/1/2007,male,9,O+,24.5,"4' 4"""
194,Mr.,Ron,S,Beaudet,Vasquez,10/18/2012,male,4,A+,15.8,"3' 1"""
195,Mr.,Kerry,J,Tartaglia,Pierre,3/12/2005,male,11,O+,52.2,"5' 0"""
196,Mr.,Charles,T,Gault,Day,1/31/2005,male,11,B+,33.8,"4' 11"""
197,Mr.,Rene,P,Shields,Walker,11/29/2007,male,8,B+,36.1,"4' 1"""
198,Mr.,Patrick,B,Kemper,Livingston,5/1/2013,male,3,O+,14.2,"3' 1"""
199,Mr.,Mathew,W,Schultz,Dominick,5/18/1998,male,18,A-,51.8,"6' 0"""
200,Mr.,Freddie,M,Harnois,Griffin,5/16/1995,male,21,B+,69.1,"5' 7"""
201,Mr.,Jeffrey,B,Steverson,Groh,2/1/1994,male,22,A+,81.6,"5' 10"""
202,Mr.,Leonard,L,Escalante,Boden,6/8/2002,male,14,A-,57.0,"5' 7"""
203,Mr.,Lazaro,M,Bowler,Weekley,3/5/2009,male,7,O-,28.2,"4' 2"""
204,Mr.,Daniel,L,Fletcher,Anderson,4/13/2012,male,4,A+,16.8,"3' 5"""
205,Mr.,Russell,C,Bunn,Gipson,5/14/2000,male,16,A-,88.6,"5' 8"""
206,Mr.,Thomas,D,Armstrong,Alderman,7/5/2010,male,6,A-,25.0,"4' 1"""
207,Mr.,Jim,S,Jones,Russ,12/30/2005,male,10,A+,46.9,"4' 7"""
208,Mr.,Raymond,M,Lebeau,Pierce,7/21/1997,male,19,A+,97.3,"6' 2"""
209,Mr.,George,A,Savoie,Gardner,9/8/2012,male,4,O-,13.3,"3' 4"""
210,Mr.,Reed,S,Peterson,Varga,1/21/1995,male,21,O+,74.3,"5' 9"""
211,Mr.,Joseph,L,Artis,Wilkins,3/27/1994,male,22,O+,63.4,"6' 0"""
212,Dr.,Tom,A,Jorgensen,Scott,11/30/1994,male,21,O+,63.1,"6' 0"""
213,Mr.,Mark,W,Thompson,Bray,7/2/1994,male,22,A+,62.0,"5' 9"""
214,Mr.,Anthony,M,Hanks,Norton,11/3/2010,male,6,O+,18.9,"4' 1"""
215,Mr.,Richard,S,Swenson,Thomas,12/22/2002,male,13,B+,67.7,"4' 9"""
216,Mr.,Martin,J,Cannon,Williams,9/25/2001,male,15,O-,63.6,"6' 0"""
217,Mr.,David,A,Yeates,Driggs,11/7/2003,male,13,B+,40.2,"4' 9"""
218,Mr.,Alberto,L,Rankin,Lewis,5/10/2000,male,16,O+,46.4,"5' 5"""
219,Mr.,Lester,B,Johnson,Hernandez,12/24/2007,male,8,O+,30.4,"4' 5"""
220,Mr.,Lee,H,Enriquez,Johnson,4/20/2012,male,4,O-,13.5,"3' 3"""
221,Mr.,Dustin,J,Allen,Sly,4/21/2007,male,9,A+,23.7,"4' 0"""
222,Mr.,William,J,Fox,Aikens,1/10/2004,male,12,B+,61.7,"5' 2"""
223,Mr.,Julio,P,Rodriquez,Bass,2/8/2007,male,9,A+,33.2,"4' 9"""
224,Mr.,Lester,L,Pavone,Kaylor,5/7/2001,male,15,AB+,83.9,"5' 1"""
225,Mr.,Sammy,E,Gamble,Tate,9/4/2010,male,6,A+,16.6,"3' 11"""
226,Mr.,Derek,S,Pendergrass,Vanfleet,7/19/2006,male,10,B+,45.3,"4' 9"""
227,Mr.,Glenn,L,Bennett,Layton,11/18/2004,male,12,O+,38.1,"4' 8"""
228,Mr.,Jonathan,A,Lovell,Arends,5/4/1995,male,21,B+,62.0,"5' 10"""
229,Mr.,Ashley,M,Alejandro,Bailey,4/14/1997,male,19,B+,58.6,"5' 8"""
230,Mr.,Mark,W,Vincent,Hamilton,11/22/2005,male,10,A+,47.0,"4' 6"""
231,Mr.,Micheal,R,Wise,McDonald,8/2/1996,male,20,O-,78.4,"6' 3"""
232,Mr.,Chris,H,Gelinas,Nuss,10/30/1994,male,22,A+,106.8,"5' 9"""
233,Mr.,Robert,E,Doran,Estrada,7/31/2003,male,13,O+,39.5,"5' 2"""
234,Mr.,Alfonso,K,Souza,Palmer,1/3/2001,male,15,B+,67.8,"5' 4"""
235,Mr.,Erin,M,Killough,Smitherman,2/3/2011,male,5,O+,24.8,"3' 7"""
236,Mr.,Daniel,J,Jankowski,Shutt,9/4/2010,male,6,O+,22.6,"3' 7"""
237,Mr.,Clarence,D,Hopkins,Rigdon,8/25/2007,male,9,B+,38.5,"4' 4"""
238,Mr.,William,S,Dillard,White,3/11/1997,male,19,B+,59.8,"6' 3"""
239,Mr.,Nick,R,Buchanan,Runner,4/23/2005,male,11,A+,52.2,"4' 6"""
240,Mr.,Kyle,M,Andersen,Fields,1/5/2007,male,9,B+,35.8,"4' 8"""
241,Mr.,Everett,V,Samuel,Danna,10/2/2011,male,5,A+,18.5,"3' 8"""
242,Mr.,Chris,M,Martinez,Christopher,9/10/2008,male,8,A+,31.2,"4' 3"""
243,Mr.,Roberto,D,Crum,Burrowes,5/18/2011,male,5,A-,17.5,"3' 10"""
244,Mr.,David,I,Wilson,Cornwell,8/18/2003,male,13,A+,69.8,"5' 2"""
245,Mr.,Kent,K,Woodward,Hunger,8/5/2012,male,4,O+,14.3,"3' 5"""
246,Mr.,Kevin,R,Fry,Cisneros,9/10/2003,male,13,A+,43.3,"4' 9"""
247,Mr.,Edward,G,McInerney,Lawson,8/19/2014,male,2,A+,12.5,"2' 8"""
248,Mr.,Thomas,S,Cooper,Moorer,8/14/2004,male,12,O+,49.7,"4' 8"""
249,Mr.,Kevin,S,Harrison,Kendrick,3/26/2003,male,13,O+,50.1,"4' 9"""
250,Mr.,Oscar,Y,Wood,Hazlett,3/18/2010,male,6,B+,20.3,"3' 8"""
251,Mr.,John,S,Freese,Burnette,1/15/2012,male,4,B+,15.8,"3' 6"""
252,Mr.,Martin,K,McLaughlin,Kohler,10/4/1998,male,18,B+,87.0,"5' 11"""
253,Mr.,Jon,B,Bourgoin,Kling,1/22/2005,male,11,O+,38.3,"4' 4"""
254,Mr.,Tony,H,Whittaker,Travers,12/30/2012,male,3,B+,15.9,"2' 11"""
255,Mr.,Kenneth,J,McDonald,Purdy,2/9/2012,male,4,AB-,14.2,"3' 6"""
256,Mr.,Brian,M,Connors,Trinh,7/24/2010,male,6,A+,18.7,"4' 0"""
257,Mr.,Calvin,J,Grimmett,Castillo,2/25/2004,male,12,B+,59.2,"4' 6"""
258,Mr.,Tommy,C,Truett,Gregory,9/26/2012,male,4,O+,16.0,"3' 8"""
259,Mr.,Alex,V,Davila,Davis,10/29/1998,male,18,O+,89.7,"5' 7"""
260,Mr.,Michael,V,Harrison,Gutierrez,1/4/2004,male,12,O+,30.7,"4' 10"""
261,Mr.,Miles,S,Stephens,Ross,1/5/1998,male,18,A+,76.0,"5' 4"""
262,Mr.,Gabriel,J,Burns,Grell,3/12/1997,male,19,O+,71.7,"5' 7"""
263,Mr.,Guillermo,D,Wheatley,Farley,11/11/2010,male,6,O+,17.1,"3' 6"""
264,Mr.,Austin,M,Washington,Mellor,10/25/2005,male,11,A+,43.1,"5' 1"""
265,Mr.,Keith,L,Durante,Eddie,9/10/2004,male,12,O+,51.9,"5' 4"""
266,Mr.,Peter,K,Garrison,Crespo,8/3/2005,male,11,AB-,47.7,"4' 7"""
267,Mr.,Emil,C,Clarke,Gonzalez,1/15/1995,male,21,O+,104.1,"5' 9"""
268,Dr.,Scott,E,McCain,Yates,2/11/1994,male,22,O+,84.2,"5' 7"""
269,Mr.,Clifton,M,Buchanan,Heath,5/26/2003,male,13,AB+,44.3,"5' 1"""
270,Mr.,Richard,J,Wade,Sexton,1/30/2012,male,4,O+,14.8,"3' 2"""
271,Mr.,Charles,B,Wallace,Castillo,5/24/1998,male,18,B+,53.7,"6' 2"""
272,Mr.,Erwin,C,Wilson,Cruise,12/15/2008,male,7,A+,18.8,"3' 9"""
273,Mr.,Lamont,P,Rogers,Nickel,7/3/2011,male,5,O+,23.8,"3' 4"""
274,Mr.,Paul,J,Leonard,George,9/27/2011,male,5,B+,16.5,"3' 10"""
275,Dr.,Mark,A,Hansen,Morales,4/11/1996,male,20,B+,101.0,"6' 0"""
276,Mr.,William,R,Bowman,Lee,12/12/2007,male,8,O+,31.6,"4' 6"""
277,Mr.,Keith,T,Pierce,Dorsey,5/25/1999,male,17,A+,52.9,"6' 1"""
278,Dr.,Edward,R,Peters,Ohare,4/29/2005,male,11,O+,38.2,"4' 6"""
279,Mr.,Manuel,R,Meyer,Sesco,8/25/2004,male,12,O-,34.4,"5' 2"""
280,Mr.,David,M,Perez,Brooks,5/17/1996,male,20,O+,92.4,"5' 7"""
281,Mr.,Paul,L,Richardson,Seaman,7/29/1999,male,17,B+,67.3,"5' 7"""
282,Mr.,Kenneth,L,Leavitt,Taylor,11/29/1998,male,17,AB-,62.3,"5' 9"""
283,Mr.,Brian,J,Southerland,Simon,1/6/2009,male,7,O+,29.7,"4' 0"""
