Number,Gender,Title,GivenName,MiddleInitial,Surname,MothersMaiden,Birthday,Age,BloodType,Kilograms,FeetInches
77,female,Ms.,Eunice,G,Clark,Colon,3/14/2003,13,B+,56.6,"4' 9"""
78,female,Ms.,Ruth,G,Chase,West,4/11/2012,4,B+,17.3,"3' 7"""
79,female,Mrs.,Alicia,R,Rosamond,Sera,11/13/2007,9,O-,22.0,"4' 2"""
80,female,Ms.,Marian,T,House,Brown,11/3/2003,13,O+,64.9,"5' 7"""
81,female,Ms.,Bernetta,M,Fischer,Kindred,7/9/1995,21,B+,55.3,"5' 1"""
82,female,Dr.,Norah,B,White,Chipman,4/23/2005,11,A+,40.5,"4' 8"""
83,female,Mrs.,Stephane,D,Gay,Mata,5/30/2011,5,A-,14.8,"3' 10"""
84,female,Dr.,Edna,M,Hollins,Panos,3/28/2002,14,O+,39.2,"5' 5"""
85,female,Mrs.,Teresa,R,Fitzhugh,Sapien,2/5/2002,14,A-,74.1,"5' 4"""
86,female,Ms.,Mary,R,Walters,Kunze,12/5/2004,11,A+,33.5,"4' 7"""
87,female,Ms.,Nancy,D,McArthur,Spence,8/9/1997,19,A+,69.6,"5' 1"""
88,female,Ms.,Ellen,R,Fosdick,McQueen,9/5/2009,7,A+,24.8,"4' 3"""
89,female,Ms.,Lorrie,D,Olney,Martinez,4/13/2003,13,AB+,49.9,"5' 6"""
90,female,Mrs.,Nancy,A,McDonald,Peck,2/9/2001,15,B+,63.4,"5' 7"""
91,female,Mrs.,Patricia,H,Grubbs,Armstead,5/28/2009,7,O+,22.9,"3' 8"""
92,female,Ms.,Regina,W,Richardson,Pilcher,6/11/2002,14,B+,71.9,"5' 0"""
93,female,Mrs.,Dorothy,J,Ford,Melton,5/6/1994,22,A+,92.0,"5' 8"""
94,female,Ms.,Kristie,T,Pauline,Richins,5/1/2009,7,A+,32.1,"3' 8"""
95,female,Ms.,Mary,F,Bruce,Fleming,9/18/2008,8,A+,27.6,"3' 11"""
96,female,Ms.,Barbara,J,Newman,McNutt,3/16/2011,5,O+,19.0,"3' 10"""
97,female,Mrs.,Yvonne,R,McMullin,Ramos,3/12/1999,17,AB+,79.0,"5' 7"""
98,female,Mrs.,Tracy,J,Miller,Brown,12/15/2006,9,A+,25.4,"4' 6"""
99,female,Mrs.,Christine,J,Malloy,McManus,9/21/2014,2,O+,11.7,"2' 10"""
100,female,Dr.,Alice,G,Morse,Austin,1/18/2003,13,B+,33.5,"5' 1"""
101,female,Ms.,Kimberly,R,Carter,Inman,8/13/2012,4,O+,12.1,"3' 5"""
102,female,Mrs.,Maria,D,Burkey,Mistretta,10/21/2012,4,O+,17.0,"3' 7"""
103,female,Ms.,Mary,M,Leonard,Byrd,8/17/2000,16,A+,41.7,"5' 8"""
104,female,Mrs.,Jessica,R,Snodgrass,Jacobson,11/18/1999,17,B+,84.6,"5' 8"""
105,female,Mrs.,Ashley,C,Jose,Truong,12/14/2011,4,O+,13.0,"3' 3"""
106,female,Mrs.,April,S,Mack,Baver,1/5/1995,21,O+,85.1,"5' 4"""
107,female,Ms.,Terri,T,Cole,Handley,8/13/2005,11,O+,28.1,"5' 0"""
108,female,Ms.,Kelly,R,Hamilton,Bell,8/30/1994,22,A+,58.8,"5' 2"""
109,female,Mrs.,Erica,C,Williamson,Delgado,2/3/2012,4,B+,16.2,"3' 3"""
110,female,Ms.,Shirley,G,Kovach,Camara,9/9/2012,4,A+,15.4,"3' 2"""
111,female,Ms.,Regina,G,Magana,Carolan,9/22/2006,10,O-,51.1,"4' 2"""
112,female,Ms.,Pat,J,Hughes,Kinsey,12/3/1998,17,A-,74.7,"5' 1"""
113,female,Ms.,Sarah,E,Pitts,Anderson,1/30/2009,7,O+,33.5,"3' 8"""
114,male,Mr.,Jay,L,Dupras,Kayser,4/25/2000,16,A+,69.2,"5' 8"""
115,female,Ms.,Annette,S,Lopez,Smartt,9/21/2007,9,A+,43.5,"4' 4"""
116,female,Mrs.,Eva,J,Acevedo,Izzo,6/22/2013,3,O+,11.6,"2' 11"""
117,female,Ms.,Denise,A,Hume,Yowell,10/2/2001,15,A+,62.7,"5' 5"""
118,female,Ms.,Mamie,R,Pringle,Morgan,1/3/2011,5,A-,21.0,"3' 5"""
119,female,Ms.,Vivian,J,Jaffe,McNeese,2/11/2002,14,O+,41.4,"5' 8"""
120,female,Mrs.,Kathy,C,Hasty,Lassiter,3/8/1999,17,O+,53.8,"5' 2"""
121,female,Ms.,Jessica,D,McCarthy,Jean,5/7/2014,2,O+,13.4,"2' 7"""
122,female,Mrs.,Teresa,H,Price,Collins,11/6/2004,12,O+,56.8,"4' 11"""
123,female,Ms.,Sara,J,Stephenson,Truong,11/14/2009,7,B+,32.8,"3' 10"""
124,female,Ms.,Heidi,M,Cullen,Calhoun,1/15/2000,16,A+,82.4,"5' 9"""
125,female,Mrs.,Marjorie,J,Hollar,Brown,10/9/2005,11,A+,27.8,"4' 9"""
126,female,Mrs.,Florence,H,McKee,Hogan,1/7/1996,20,A+,49.9,"5' 8"""
127,female,Ms.,Dorothy,A,Knotts,Anderson,8/28/2007,9,B+,41.3,"4' 2"""
128,female,Ms.,Janna,S,Tester,Wilkerson,6/17/1998,18,O+,73.6,"5' 3"""
129,female,Ms.,Geraldine,K,Warner,Kelly,6/22/1996,20,O+,88.8,"5' 4"""
130,female,Dr.,Cheryl,S,Jones,Weber,7/2/2007,9,B+,22.3,"4' 2"""
131,female,Mrs.,Lucy,T,Erickson,Hinojosa,12/24/2013,2,A-,13.3,"2' 8"""
132,female,Mrs.,Dorothy,M,Murphey,Crawford,12/18/1997,18,AB+,84.9,"5' 3"""
133,female,Mrs.,Louise,N,Stein,Miller,3/7/2004,12,A-,34.7,"4' 9"""
134,female,Ms.,Joan,D,Campbell,Wildes,4/9/2014,2,O+,9.9,"2' 7"""
135,female,Mrs.,Linda,W,Lindsey,Carter,10/16/2000,16,O+,82.5,"5' 2"""
136,female,Ms.,Jennifer,G,Smith,Stout,12/28/1997,18,O+,71.6,"5' 9"""
137,female,Mrs.,Jennifer,M,Dixon,Duncan,5/26/2012,4,O+,17.6,"3' 5"""
138,female,Ms.,Janelle,L,Franklin,Doyal,10/21/1996,20,A+,68.8,"5' 1"""
139,female,Ms.,Paula,R,Santiago,Cary,8/6/2003,13,B+,69.6,"5' 5"""
140,female,Mrs.,Lydia,E,Gonzales,Rieke,1/10/1994,22,B+,82.4,"5' 1"""
141,female,Ms.,Lilian,C,Tenney,Kanter,2/12/2005,11,B+,42.6,"4' 6"""
142,female,Mrs.,Melvin,S,Shinn,Grant,8/30/2004,12,A+,61.9,"4' 9"""
143,female,Mrs.,Pinkie,R,Rosado,Peterson,3/24/1995,21,O+,54.9,"5' 5"""
144,female,Ms.,Judith,G,Ray,Floyd,9/6/2008,8,O+,35.4,"4' 4"""
145,female,Mrs.,Blanche,E,Myers,Wright,10/13/2012,4,O+,16.2,"3' 2"""
146,male,Mr.,Curtis,G,Westbrooks,Coleman,2/5/2014,2,O+,14.1,"2' 11"""
147,female,Ms.,Katheryn,F,Lee,Dye,10/30/2007,9,B+,23.7,"4' 1"""
148,female,Mrs.,Amanda,R,Florian,Ivey,1/21/2005,11,O+,40.1,"5' 2"""
149,female,Mrs.,Betty,T,Chafin,Murray,7/3/2011,5,O+,14.9,"3' 3"""
150,female,Ms.,Diana,H,Eddy,Ritchie,5/19/1999,17,A+,76.6,"5' 8"""
151,female,Ms.,Agnes,R,Clark,Garrison,6/4/2001,15,A+,49.1,"4' 11"""
152,female,Mrs.,Jo,B,Nowakowski,Tipton,6/19/2011,5,B+,15.9,"3' 4"""
153,female,Ms.,Andrea,B,Walsh,Reisman,5/31/2011,5,A+,19.5,"3' 3"""
154,female,Mrs.,Nicole,C,Gross,Dunlap,3/26/2005,11,B+,53.8,"4' 9"""
155,female,Ms.,Teresa,J,Tindall,Nesbit,1/2/2010,6,B+,28.1,"3' 8"""
156,female,Ms.,Clara,T,Irwin,Alcorn,9/10/2012,4,O+,14.3,"3' 2"""
157,female,Ms.,Kristin,R,Cooper,Dismukes,3/4/1999,17,B+,67.7,"5' 3"""
158,female,Mrs.,Kristina,G,Witkowski,Escalante,5/3/2004,12,A+,55.3,"5' 0"""
159,female,Ms.,Martha,J,Campbell,Hines,5/11/2010,6,B+,24.5,"3' 8"""
160,female,Ms.,Debra,G,McClung,Ramirez,4/17/2002,14,O+,67.9,"5' 7"""
161,female,Mrs.,Lennie,M,Gonzalez,Forbes,5/17/2007,9,O+,31.9,"4' 2"""
162,female,Mrs.,Christina,A,Fabry,Riddle,4/27/2000,16,B+,68.8,"5' 5"""
163,female,Mrs.,Claudia,G,Abarca,Doyon,3/22/2002,14,O+,75.9,"5' 4"""
164,female,Mrs.,Jean,M,Marshall,Smith,7/20/2004,12,O-,41.1,"4' 7"""
165,female,Ms.,Caroline,R,Belanger,Holguin,9/21/1996,20,A+,74.9,"5' 6"""
166,female,Mrs.,Jimmie,J,Simmons,Navarrette,6/9/2008,8,A+,21.2,"4' 5"""
167,female,Mrs.,Kimberly,R,Thoreson,Robertson,8/9/2007,9,B+,21.9,"4' 9"""
168,female,Mrs.,Barbara,J,Atchison,Barnett,12/31/2008,7,B+,20.1,"3' 9"""
169,female,Ms.,Teresa,K,Brennen,Lee,12/28/2008,7,O+,25.7,"4' 4"""
170,female,Mrs.,Elizabeth,D,Debose,Thomas,3/19/2009,7,O+,20.5,"4' 3"""
171,female,Ms.,Glynda,A,Kim,Leboeuf,2/24/2007,9,B+,26.5,"4' 0"""
172,female,Ms.,Elizabeth,M,Randall,Morris,3/30/1994,22,B+,64.9,"5' 3"""
173,female,Ms.,Brittany,M,Joiner,Roberson,5/8/1997,19,B+,83.1,"5' 4"""
174,female,Ms.,Beth,J,Baird,Riley,8/13/2000,16,O+,48.1,"5' 4"""
175,female,Ms.,Maragaret,F,Brown,Phillips,11/5/1995,21,B+,66.6,"5' 4"""
176,female,Ms.,Brigitte,T,Jackson,Santana,12/11/2003,12,O+,47.3,"4' 7"""
177,female,Ms.,Virginia,R,Pointer,Stpierre,6/12/1999,17,O-,58.3,"5' 1"""
178,female,Ms.,Anita,M,Valentine,Chandler,7/25/2008,8,O+,21.5,"4' 0"""
179,female,Mrs.,Helen,J,Holz,White,2/11/1997,19,O+,57.8,"5' 1"""
180,female,Mrs.,Mary,R,Tingle,Miera,1/6/2007,9,B+,31.0,"4' 2"""
181,female,Mrs.,Joanne,C,Brown,Churchill,5/11/2005,11,O+,28.5,"5' 1"""
182,female,Ms.,Miriam,M,Gorman,Geissler,2/28/2011,5,A-,15.1,"3' 9"""
183,female,Mrs.,Teresa,C,Roberts,Matthews,8/13/1994,22,O+,80.8,"5' 5"""
184,female,Ms.,Tina,C,Spires,Bell,2/20/2007,9,B+,31.4,"4' 1"""
185,female,Ms.,Marie,E,Hernandez,Mason,11/8/1995,21,A+,68.6,"5' 2"""
186,female,Ms.,Sandra,S,Silvestre,Morris,11/8/1996,20,O+,61.7,"5' 1"""
187,female,Ms.,Betty,J,Woodard,Dennis,4/10/1998,18,O+,65.0,"5' 6"""
188,female,Mrs.,Kathleen,K,Campbell,Sherburne,5/30/2000,16,B-,74.2,"5' 4"""
189,female,Ms.,Ana,J,McDonald,Robinson,5/11/2012,4,A+,12.2,"3' 6"""
190,female,Ms.,Pamela,R,Longnecker,Denby,5/18/2002,14,AB+,48.6,"5' 7"""
191,female,Ms.,Rachel,W,Edwards,Howard,9/20/2014,2,O+,12.5,"2' 11"""
192,female,Mrs.,Ninfa,R,Gross,Ivey,4/14/1994,22,O+,82.3,"5' 1"""
193,female,Ms.,Kati,T,Keyes,Brown,11/19/1994,22,A+,88.6,"5' 3"""
194,female,Ms.,Lisa,I,Pablo,Ryerson,8/15/2007,9,A+,29.1,"4' 4"""
195,female,Ms.,Frances,T,Ayala,Wiltse,10/1/2009,7,O+,24.4,"4' 4"""
196,female,Ms.,Jean,J,Granger,Laverriere,11/24/2000,15,O+,50.8,"5' 1"""
197,female,Mrs.,Marcia,W,Alcocer,Tran,8/15/2007,9,O-,23.9,"4' 7"""
198,female,Mrs.,Angela,D,Peters,Rathbone,3/18/2009,7,A+,24.2,"4' 2"""
199,female,Mrs.,Jeannie,T,Powell,Smith,5/2/1998,18,O-,83.1,"5' 2"""
200,female,Mrs.,Cindy,W,Rudisill,Glenn,6/18/2010,6,B+,16.5,"3' 11"""
201,female,Mrs.,Barbara,J,Rodriguez,Loving,7/18/2010,6,B+,16.8,"3' 7"""
202,female,Dr.,Beverly,M,Sheehan,Leeman,5/18/2010,6,B+,18.5,"4' 1"""
203,female,Ms.,Melanie,K,Wong,Linzy,6/20/2013,3,O+,17.5,"2' 11"""
204,female,Ms.,Martha,C,Somers,Luckett,9/19/2011,5,A+,15.8,"3' 5"""
205,female,Ms.,Kimberly,R,Flowers,York,2/21/1997,19,O+,60.5,"5' 8"""
206,female,Ms.,Pamela,L,Issa,Mitchell,11/24/1993,22,B+,93.2,"5' 4"""
207,female,Ms.,Anne,M,McClure,Peyton,3/2/1997,19,A+,51.6,"5' 4"""
208,female,Ms.,Edith,R,Foster,Grondin,5/29/2010,6,O-,28.6,"3' 10"""
209,female,Mrs.,Corinne,R,Glass,Stack,7/22/2014,2,A+,13.1,"3' 0"""
210,female,Ms.,Linda,D,Johnson,Deason,11/9/2007,9,A+,30.8,"4' 8"""
211,female,Ms.,Hillary,J,Jones,Meyer,5/10/1997,19,O+,47.0,"5' 7"""
212,female,Ms.,Carol,S,Simmonds,Woodard,12/7/2013,2,O+,13.9,"3' 0"""
213,female,Ms.,Ione,W,Montiel,Valentine,2/1/2007,9,A+,35.2,"4' 3"""
214,female,Mrs.,Molly,D,Crenshaw,Asencio,1/6/2014,2,A+,10.1,"3' 0"""
215,female,Ms.,Mary,G,Narvaez,Gandy,10/8/1999,17,O+,56.8,"5' 7"""
216,female,Ms.,Tameka,W,Thompson,Ritter,1/10/2004,12,A+,55.7,"4' 11"""
217,female,Ms.,Alma,R,Delong,Solomon,4/27/2013,3,A+,13.5,"2' 11"""
218,female,Mrs.,Emily,W,Tracy,Butts,3/8/2008,8,A+,36.8,"4' 6"""
219,female,Mrs.,Marla,M,Roark,Graber,2/28/1999,17,B+,64.6,"5' 8"""
220,female,Ms.,Jessica,C,Boulanger,Wagner,12/10/2010,5,O+,15.1,"3' 9"""
221,female,Mrs.,Vina,R,Hardesty,Lanham,6/27/1996,20,A+,57.0,"5' 6"""
222,female,Mrs.,Barbara,W,Ford,Laffey,12/10/1993,22,O+,61.5,"5' 2"""
223,female,Mrs.,Edith,L,Coats,Yang,8/11/2003,13,B+,61.9,"5' 0"""
224,female,Ms.,Amanda,B,McIntosh,Hurdle,7/14/1994,22,B+,63.1,"5' 9"""
225,female,Mrs.,Kelly,S,Bjorklund,Young,7/6/2006,10,AB+,43.2,"4' 3"""
226,female,Mrs.,Juana,B,Dorn,Franklin,5/31/1999,17,O+,59.2,"5' 5"""
227,female,Ms.,Bethany,A,Smith,Rowland,7/1/1999,17,O+,82.5,"5' 8"""
228,female,Ms.,Judy,S,Bishop,Rains,8/3/1994,22,A+,66.0,"5' 6"""
229,female,Mrs.,Mary,R,Bowles,Gilliam,8/3/1996,20,O+,80.7,"5' 4"""
230,female,Ms.,Brenda,W,Thomas,Redd,1/28/2001,15,A+,53.5,"5' 4"""
231,female,Mrs.,Hattie,R,Peden,Brown,8/22/2000,16,A+,45.1,"5' 9"""
232,female,Ms.,Elaine,F,Mack,Medina,10/10/2005,11,O+,40.2,"5' 1"""
233,female,Dr.,Shelley,M,Cook,Moore,3/31/2011,5,AB+,23.9,"3' 7"""
234,female,Mrs.,Dora,B,Davison,Warren,4/13/2011,5,B+,18.8,"3' 9"""
235,female,Ms.,Kathleen,J,Blankenship,Chitwood,11/7/2004,12,O+,55.2,"5' 0"""
236,female,Ms.,Katherine,P,Dodge,Davis,6/12/2006,10,O+,49.8,"4' 9"""
237,female,Mrs.,Whitney,L,Coyne,Wheeler,6/21/2010,6,B+,19.5,"3' 7"""
238,female,Mrs.,Rosalia,J,Simeone,Miller,8/11/1994,22,A+,73.9,"5' 3"""
239,female,Mrs.,Cheri,E,Buchanan,Nelson,8/22/1999,17,O+,47.8,"5' 6"""
240,female,Ms.,Jana,F,Porter,Murray,7/15/2012,4,O+,16.1,"3' 1"""
241,female,Mrs.,Edna,R,Daggett,Bivins,3/21/1999,17,O+,50.1,"5' 0"""
242,female,Mrs.,Jessica,M,Dawson,Weiss,12/25/1994,21,A+,89.0,"5' 7"""
243,female,Ms.,Christy,D,Rogan,Mullen,10/2/2001,15,A+,60.0,"5' 3"""
244,female,Mrs.,Michelle,D,Morris,Malone,4/3/1999,17,B+,77.9,"5' 7"""
245,female,Ms.,Estelle,J,Warner,Small,3/31/2005,11,B+,57.5,"5' 2"""
246,female,Mrs.,Michelle,B,Everett,Carlberg,7/15/2007,9,O+,25.0,"4' 2"""
247,female,Ms.,Susan,P,Kasper,Faulkner,8/28/2006,10,O+,28.5,"4' 4"""
248,female,Ms.,Tina,K,Overly,Newton,8/29/2005,11,O+,32.4,"4' 11"""
249,female,Mrs.,Veronica,K,Tartaglia,Nelson,2/7/1996,20,O-,88.1,"5' 4"""
250,female,Ms.,Deborah,J,Freese,Davis,7/12/1994,22,A+,48.2,"5' 5"""
251,female,Mrs.,Carolyn,D,Johnson,Hernandez,7/26/2008,8,AB-,29.9,"4' 0"""
252,female,Mrs.,Jesse,D,Shaw,Nipper,3/10/2008,8,O+,26.2,"4' 5"""
253,female,Ms.,Doris,T,Nelson,Allen,11/27/2002,13,B+,53.4,"5' 2"""
254,female,Ms.,Lucia,C,McDaniel,Cotton,12/1/1996,19,A+,55.7,"5' 3"""
255,female,Ms.,Carolyn,C,Gantt,Burbank,2/29/2004,12,O-,57.8,"4' 9"""
256,female,Ms.,Alice,P,Owens,Pixley,12/18/1997,18,A+,84.1,"5' 6"""
257,female,Ms.,Heather,D,Leveille,Maez,9/20/2013,3,A+,12.4,"3' 1"""
258,female,Ms.,Kindra,E,Nicholas,Sumner,10/31/1997,19,B+,54.1,"5' 9"""
259,female,Mrs.,Kathy,J,Kotter,Doyle,4/6/1998,18,B+,73.0,"5' 4"""
260,female,Ms.,Louise,J,Hoff,Petri,5/5/2014,2,A-,10.3,"2' 11"""
261,female,Mrs.,Rose,C,Perillo,Carlson,10/19/2006,10,B+,34.2,"4' 4"""
262,female,Ms.,Alisha,B,Costa,Edwards,3/27/2010,6,B+,27.8,"3' 10"""
263,female,Ms.,Jackie,R,Moore,Lundberg,9/9/1998,18,A+,44.8,"5' 3"""
264,female,Ms.,Kathy,T,West,Swanson,5/20/2014,2,B+,15.0,"2' 8"""
265,female,Mrs.,Judy,N,Bradley,Regalado,7/21/2002,14,O+,51.9,"5' 3"""
266,female,Dr.,Angela,L,Butler,Cormier,1/18/2012,4,O+,18.0,"3' 4"""
267,female,Ms.,Carol,P,Matherne,Mouser,1/13/1996,20,A+,71.5,"5' 8"""
268,female,Mrs.,Doris,D,Smith,Johnson,5/1/1999,17,A+,82.3,"5' 4"""
269,female,Ms.,Kimberly,M,Fallis,Drake,6/3/2004,12,B+,46.0,"5' 3"""
270,female,Ms.,Janet,A,Castellon,Freitas,4/3/1997,19,O+,67.4,"5' 0"""
271,female,Ms.,Hilma,D,Lytle,Brown,1/13/2007,9,AB-,21.7,"4' 6"""
272,female,Ms.,Nancy,J,Gibbs,Parker,8/7/1994,22,O+,67.8,"5' 7"""
273,female,Ms.,Sheryl,F,Bradley,Nichols,1/1/2004,12,A+,38.0,"5' 0"""
274,female,Ms.,Celia,C,Lilly,Day,3/25/2009,7,AB+,23.8,"4' 3"""
275,female,Ms.,Julie,G,Candelario,Bruns,2/28/1999,17,A+,56.3,"5' 6"""
276,female,Ms.,Angelia,M,King,Hamel,11/16/2005,11,O+,44.8,"4' 9"""
277,female,Ms.,Tania,Q,Soares,Nash,5/26/1994,22,O+,85.7,"5' 5"""
278,female,Dr.,Jessica,J,Osborne,Schneider,5/14/1994,22,O+,60.3,"5' 7"""
